playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477500,2023,Bo Horvat,NYI,C,other,62,3387.0,56.0,48.83,0.39,0.33,0.53,0.31,0.51,0.33,147.0,16.47,2.45,1.28,3.41,0.65,8.75,6.47,2.18,2.45,2.18,0.0,1.0,16.0,7.0,4.0,27.0,6.0,5.0,2.0,1.0,3.0,0.0,5.0,8.0,11.0,18.0,0.0,0.0,38.0,1.0,0.0,2.0,15.0,5.0,3.0,0.69,0.6,1.16,2.0,1.0,2.0,27.0,23.0,23.0,0.0,0.36,0.9,0.45,2.37,2.37,2.25,56.0,15.0,18.0,6.0,17.0,3.0,5.0,18.0,30.0,38.0,29.0,3238.0,0.0,0.0,0.0,1.0,61.21,12.08,11.12,12.08,11.12,60.0,23.0,22.0,105.0,13.0,10.0,1.0,46.0,19.0,18.0,1.79,2.24,8.05,5.0,4.0,4.0,105.0,83.0,83.0,1.28,2.92,2.92,10.43,10.43,10.1,56.26,19.15,17.1,19.15,17.1,55.0,24.0,13.0,92.0,21.0,7.0,2.0,36.0,12.0,31.0,1.21,1.32,16.62,1.0,3.0,17.0,92.0,79.0,79.0,0.99,3.12,3.12,17.02,17.02,16.05,5.3,10.96,57.0,125.0,0.0,0.04,0.0,1.0,0.0,1.0
8477500,2023,Bo Horvat,NYI,C,all,62,73975.0,1469.0,63.45,0.54,0.43,0.55,0.42,0.56,0.43,117.0,188.52,18.42,13.4,41.76,6.25,105.18,74.0,17.71,18.56,17.85,18.0,14.0,195.0,64.0,67.0,326.0,58.0,26.0,20.0,3.0,44.0,0.0,76.0,93.0,169.0,233.0,9.0,21.0,603.0,51.0,23.0,37.0,189.0,50.0,20.0,5.83,6.02,6.58,10.0,10.0,6.0,329.59,259.0,262.33,9.0,3.02,5.17,3.25,18.2,18.34,17.91,1469.0,288.0,175.0,184.0,822.0,181.0,214.0,263.0,811.0,603.0,516.0,152274.0,21.0,25.0,11.0,32.0,836.59,82.45,78.79,82.78,79.12,820.0,324.0,379.0,1523.0,98.0,95.0,17.0,863.0,179.0,102.0,23.5,22.62,36.33,36.0,34.0,28.0,1534.81,1144.0,1152.82,13.52,21.24,21.24,74.73,75.12,73.02,652.0,69.55,65.21,69.67,65.33,629.0,274.0,344.0,1247.0,68.0,64.0,7.0,685.0,135.0,83.0,19.84,16.84,32.87,23.0,18.0,27.0,1246.07,903.0,902.58,9.33,14.13,14.13,64.73,64.81,62.78,102.69,134.02,2098.0,2956.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2023,Bo Horvat,NYI,C,5on5,62,57176.0,1196.0,63.45,0.54,0.48,0.52,0.44,0.54,0.45,172.0,131.36,10.66,8.69,30.95,4.19,71.5,53.02,10.37,10.8,10.51,11.0,10.0,136.0,43.0,37.0,216.0,34.0,13.0,12.0,1.0,35.0,0.0,55.0,64.0,123.0,166.0,6.0,12.0,426.0,50.0,22.0,31.0,137.0,32.0,10.0,4.23,3.87,2.56,7.0,5.0,1.0,219.59,179.0,182.33,8.0,1.8,2.8,2.47,9.99,10.13,9.97,1196.0,181.0,126.0,161.0,728.0,152.0,181.0,182.0,681.0,426.0,377.0,130872.0,12.0,18.0,9.0,27.0,585.15,46.39,44.72,46.72,45.05,575.0,232.0,266.0,1073.0,50.0,60.0,7.0,637.0,119.0,51.0,17.24,15.52,13.63,28.0,17.0,5.0,1084.81,807.0,815.82,7.75,12.09,12.09,42.05,42.43,41.55,504.74,39.1,37.68,39.22,37.78,480.0,221.0,292.0,993.0,35.0,45.0,5.0,565.0,102.0,34.0,16.35,12.89,9.86,19.0,11.0,5.0,992.07,701.0,700.58,6.7,8.74,8.79,37.0,37.07,36.44,85.07,91.04,1866.0,2376.0,0.67,1.8,25.0,46.0,21.0,36.0
8477500,2023,Bo Horvat,NYI,C,4on5,62,3115.0,92.0,36.95,0.1,0.1,0.09,0.09,0.1,0.1,166.0,3.38,0.31,0.13,0.37,0.09,0.84,2.25,0.31,0.31,0.31,1.0,0.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,30.0,0.0,1.0,1.0,3.0,0.0,1.0,0.03,0.0,0.28,0.0,0.0,0.0,5.0,4.0,4.0,1.0,0.03,0.0,0.0,0.34,0.34,0.34,92.0,2.0,30.0,6.0,54.0,4.0,13.0,24.0,51.0,30.0,54.0,8703.0,0.0,0.0,0.0,0.0,6.66,0.88,0.88,0.88,0.88,6.0,2.0,2.0,10.0,1.0,0.0,0.0,6.0,0.0,2.0,0.13,0.0,0.75,0.0,0.0,1.0,10.0,8.0,8.0,0.07,0.0,0.0,0.95,0.95,0.95,53.7,7.65,7.12,7.65,7.12,52.0,21.0,31.0,104.0,10.0,9.0,0.0,47.0,13.0,13.0,1.25,1.6,4.8,2.0,3.0,5.0,104.0,73.0,73.0,1.2,1.41,1.36,7.49,7.49,7.11,1.99,17.67,26.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
8477500,2023,Bo Horvat,NYI,C,5on4,62,10297.0,125.0,56.15,0.87,0.84,0.86,0.86,0.84,0.83,145.0,35.68,4.65,3.16,6.79,1.26,23.42,11.73,4.5,4.65,4.5,6.0,2.0,38.0,13.0,25.0,76.0,15.0,7.0,6.0,1.0,5.0,0.0,15.0,18.0,31.0,44.0,3.0,9.0,107.0,0.0,0.0,3.0,34.0,11.0,6.0,0.89,1.19,2.57,1.0,3.0,3.0,76.0,51.0,51.0,0.0,0.79,1.47,0.33,5.1,5.1,4.95,125.0,90.0,1.0,11.0,23.0,22.0,15.0,39.0,49.0,107.0,21.0,4915.0,9.0,2.0,1.0,3.0,177.44,22.02,21.01,22.02,21.01,173.0,65.0,89.0,327.0,32.0,24.0,9.0,171.0,37.0,30.0,4.18,4.28,13.55,3.0,11.0,18.0,327.0,238.0,238.0,4.3,5.87,5.87,20.45,20.45,19.57,33.31,3.29,2.97,3.29,2.97,38.0,7.0,8.0,53.0,1.0,3.0,0.0,34.0,6.0,5.0,0.92,0.78,1.59,1.0,0.0,0.0,53.0,45.0,45.0,0.37,0.87,0.87,2.8,2.8,2.77,5.61,1.06,122.0,20.0,0.01,0.04,1.0,1.0,1.0,1.0
8480950,2023,Ilya Lyubushkin,TOR,D,other,60,2540.0,50.0,4.72,0.4,0.45,0.31,0.51,0.34,0.5,162.0,1.38,0.24,0.11,0.32,0.07,0.87,0.39,0.23,0.24,0.23,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.03,0.0,0.21,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.03,0.46,0.21,0.06,0.06,0.06,50.0,4.0,17.0,7.0,22.0,3.0,17.0,9.0,21.0,0.0,0.0,7077.0,0.0,2.0,1.0,9.0,21.99,5.93,5.42,5.93,5.42,20.0,10.0,6.0,36.0,5.0,3.0,1.0,19.0,1.0,10.0,0.77,0.08,5.08,1.0,0.0,4.0,36.0,30.0,30.0,0.36,1.14,1.14,5.16,5.16,4.68,45.56,8.8,6.11,8.8,6.11,43.0,16.0,21.0,80.0,6.0,8.0,1.0,27.0,18.0,14.0,1.03,2.33,5.45,0.0,3.0,3.0,80.0,59.0,59.0,1.07,2.31,2.31,7.57,7.57,5.59,15.61,19.3,176.0,166.0,0.11,0.0,3.0,0.0,3.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,all,60,61441.0,1346.0,1.55,0.35,0.5,0.37,0.5,0.38,0.5,262.0,46.73,2.54,2.42,13.17,1.8,24.68,20.4,2.45,2.49,2.4,2.0,3.0,42.0,23.0,29.0,94.0,5.0,0.0,3.0,0.0,8.0,0.0,21.0,33.0,42.0,65.0,19.0,41.0,0.0,126.0,19.0,28.0,58.0,5.0,2.0,1.26,0.67,0.61,0.0,0.0,0.0,92.5,65.0,63.77,25.0,0.51,0.7,0.78,2.26,2.24,2.21,1346.0,119.0,237.0,215.0,775.0,139.0,203.0,167.0,837.0,0.0,0.0,156621.0,41.0,21.0,9.0,145.0,417.81,38.69,36.8,38.18,36.32,413.0,157.0,184.0,754.0,31.0,39.0,7.0,439.0,90.0,41.0,12.38,11.88,14.43,7.0,13.0,11.0,738.78,570.0,558.9,5.58,9.01,9.37,34.89,34.41,33.46,689.69,70.59,65.14,71.18,65.72,660.0,281.0,363.0,1304.0,74.0,78.0,11.0,665.0,194.0,82.0,18.25,24.41,27.93,21.0,28.0,25.0,1322.58,941.0,952.79,11.68,15.46,15.46,66.8,67.42,63.8,134.63,135.65,2554.0,2551.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on5,60,49307.0,1075.0,1.55,0.45,0.5,0.45,0.49,0.46,0.49,284.0,42.56,2.23,2.13,11.92,1.6,22.65,18.47,2.16,2.18,2.11,2.0,3.0,36.0,23.0,27.0,86.0,5.0,0.0,2.0,0.0,8.0,0.0,19.0,30.0,36.0,59.0,18.0,39.0,0.0,111.0,17.0,24.0,53.0,5.0,1.0,1.16,0.67,0.4,0.0,0.0,0.0,84.5,59.0,57.77,21.0,0.44,0.24,0.57,2.09,2.07,2.04,1075.0,112.0,103.0,188.0,672.0,128.0,151.0,122.0,674.0,0.0,0.0,119567.0,39.0,15.0,6.0,91.0,377.17,31.41,30.04,30.91,29.57,373.0,143.0,174.0,690.0,25.0,36.0,6.0,401.0,86.0,29.0,11.28,11.48,8.65,6.0,13.0,6.0,674.78,516.0,504.9,4.99,7.87,8.23,28.17,27.68,27.21,441.77,38.27,36.95,38.86,37.53,421.0,183.0,243.0,847.0,42.0,44.0,7.0,446.0,115.0,43.0,12.27,14.72,11.28,15.0,16.0,11.0,865.58,604.0,615.79,6.02,8.33,8.33,35.97,36.59,36.01,81.66,83.03,1823.0,1889.0,4.71,0.59,110.0,8.0,83.0,7.0
8480950,2023,Ilya Lyubushkin,TOR,D,4on5,60,9525.0,213.0,1.42,0.05,0.14,0.06,0.13,0.08,0.15,158.0,1.96,0.05,0.12,0.54,0.1,0.84,1.35,0.05,0.05,0.05,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,14.0,2.0,4.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,4.0,0.03,0.0,0.0,0.08,0.08,0.07,213.0,1.0,117.0,20.0,75.0,7.0,34.0,35.0,137.0,0.0,0.0,11938.0,2.0,0.0,0.0,0.0,17.83,1.33,1.32,1.33,1.32,19.0,4.0,2.0,25.0,1.0,0.0,0.0,18.0,3.0,2.0,0.31,0.32,0.7,0.0,0.0,1.0,25.0,23.0,23.0,0.21,0.0,0.0,1.54,1.54,1.53,201.53,23.45,22.02,23.45,22.02,196.0,81.0,99.0,376.0,26.0,26.0,3.0,191.0,61.0,25.0,4.89,7.36,11.2,6.0,9.0,11.0,376.0,277.0,277.0,4.57,4.83,4.83,23.18,23.18,22.12,3.36,21.22,58.0,386.0,0.04,0.0,3.0,0.0,2.0,0.0
8480950,2023,Ilya Lyubushkin,TOR,D,5on4,60,69.0,8.0,2.15,1.0,0.83,1.0,0.88,1.0,0.89,29.0,0.83,0.02,0.06,0.38,0.03,0.33,0.19,0.02,0.02,0.02,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.02,0.0,0.0,0.04,0.04,0.04,8.0,2.0,0.0,0.0,6.0,1.0,1.0,1.0,5.0,0.0,0.0,2341.0,0.0,0.0,0.0,6.0,0.83,0.02,0.02,0.02,0.02,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.02,0.0,0.0,0.04,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.74,68.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8475786,2023,Zach Hyman,EDM,L,other,62,3196.0,34.0,56.88,0.64,0.48,0.7,0.38,0.71,0.41,212.0,16.06,6.23,1.55,2.23,0.55,6.62,2.82,5.74,6.23,5.74,2.0,0.0,13.0,7.0,5.0,25.0,4.0,2.0,4.0,0.0,1.0,0.0,7.0,6.0,11.0,18.0,0.0,0.0,2.0,4.0,2.0,2.0,4.0,5.0,11.0,0.12,0.72,5.38,0.0,0.0,2.0,25.0,20.0,20.0,1.0,0.48,1.4,1.03,5.68,5.68,5.51,34.0,9.0,2.0,2.0,21.0,4.0,5.0,11.0,14.0,2.0,0.0,4093.0,0.0,0.0,0.0,3.0,66.39,18.64,16.06,18.64,16.06,60.0,29.0,28.0,117.0,9.0,11.0,1.0,35.0,22.0,32.0,1.15,2.63,14.86,0.0,2.0,7.0,117.0,89.0,89.0,1.8,4.18,4.18,16.27,16.27,14.62,25.23,10.3,8.77,10.3,8.77,27.0,9.0,15.0,51.0,12.0,2.0,0.0,15.0,7.0,14.0,0.52,0.81,8.96,1.0,1.0,10.0,51.0,36.0,36.0,0.45,0.84,0.84,9.91,9.91,8.43,9.17,9.73,69.0,111.0,0.0,0.0,1.0,0.0,0.0,0.0
8475786,2023,Zach Hyman,EDM,L,all,62,72866.0,1260.0,85.58,0.69,0.49,0.65,0.49,0.65,0.48,204.0,245.96,39.65,22.59,51.09,7.81,116.12,77.75,36.75,39.77,36.86,10.0,9.0,222.0,93.0,67.0,382.0,62.0,43.0,32.0,8.0,35.0,1.0,104.0,100.0,179.0,272.0,20.0,40.0,7.0,57.0,32.0,16.0,152.0,101.0,62.0,5.44,12.81,21.39,6.0,20.0,17.0,385.55,315.0,317.52,4.0,5.36,8.48,12.77,32.24,32.38,30.84,1260.0,300.0,113.0,203.0,644.0,183.0,190.0,275.0,612.0,7.0,9.0,152177.0,40.0,38.0,19.0,32.0,939.02,112.64,104.85,112.65,104.87,893.0,376.0,443.0,1712.0,123.0,103.0,15.0,845.0,280.0,144.0,25.8,34.6,52.25,31.0,51.0,41.0,1714.78,1269.0,1271.34,16.74,26.53,26.53,102.85,102.97,98.32,490.95,50.28,47.67,50.44,47.85,487.0,186.0,251.0,924.0,56.0,46.0,5.0,499.0,121.0,53.0,14.75,14.88,20.65,20.0,18.0,18.0,925.25,673.0,675.28,6.65,9.39,9.39,47.53,47.75,45.73,119.45,125.81,2345.0,2476.0,0.0,0.0,0.0,0.0,0.0,0.0
8475786,2023,Zach Hyman,EDM,L,5on5,62,58470.0,1109.0,85.58,0.65,0.54,0.59,0.53,0.6,0.52,187.0,177.66,24.92,14.58,38.09,5.52,83.68,62.21,23.52,25.04,23.63,5.0,8.0,159.0,70.0,59.0,288.0,42.0,29.0,19.0,4.0,29.0,1.0,74.0,77.0,130.0,200.0,14.0,28.0,4.0,53.0,29.0,13.0,114.0,79.0,36.0,4.52,9.89,10.51,5.0,17.0,7.0,291.55,229.0,231.52,3.0,3.11,3.83,7.75,20.28,20.43,19.7,1109.0,212.0,111.0,189.0,597.0,167.0,171.0,231.0,540.0,4.0,8.0,124772.0,28.0,34.0,17.0,29.0,653.55,66.53,63.15,66.54,63.15,614.0,267.0,321.0,1202.0,72.0,69.0,9.0,604.0,202.0,75.0,19.35,25.52,21.66,22.0,39.0,11.0,1204.78,881.0,883.34,9.49,16.29,16.29,59.74,59.86,58.18,436.1,36.15,35.16,36.31,35.33,430.0,168.0,231.0,829.0,41.0,41.0,4.0,456.0,108.0,34.0,13.32,13.23,9.6,17.0,17.0,7.0,830.25,598.0,600.28,5.82,7.2,7.2,34.76,34.98,34.45,96.07,80.94,2062.0,1808.0,0.58,1.26,24.0,18.0,19.0,17.0
8475786,2023,Zach Hyman,EDM,L,4on5,62,219.0,17.0,14.82,0.09,0.12,0.25,0.13,0.25,0.14,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,0.0,1.0,14.0,2.0,5.0,5.0,5.0,0.0,0.0,4162.0,0.0,0.0,0.0,0.0,0.77,0.09,0.09,0.09,0.09,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.1,0.1,0.1,2.47,0.97,0.95,0.97,0.95,3.0,0.0,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.05,0.0,0.93,0.0,0.0,1.0,3.0,3.0,3.0,0.04,0.93,0.93,0.09,0.09,0.09,1.05,7.95,18.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
8475786,2023,Zach Hyman,EDM,L,5on4,62,10981.0,100.0,82.93,0.91,0.91,0.91,0.83,0.89,0.81,186.0,52.24,8.5,6.46,10.76,1.75,25.82,12.71,7.48,8.5,7.48,3.0,1.0,50.0,16.0,3.0,69.0,16.0,12.0,9.0,4.0,5.0,0.0,23.0,17.0,38.0,54.0,6.0,12.0,0.0,0.0,0.0,1.0,34.0,17.0,15.0,0.8,2.2,5.5,1.0,3.0,8.0,69.0,66.0,66.0,0.0,1.77,3.26,3.99,6.27,6.27,5.63,100.0,77.0,0.0,11.0,12.0,10.0,9.0,28.0,53.0,0.0,0.0,4124.0,12.0,0.0,0.0,0.0,212.48,26.68,24.87,26.68,24.87,213.0,77.0,94.0,384.0,40.0,23.0,5.0,201.0,52.0,37.0,4.98,5.98,15.73,8.0,9.0,23.0,384.0,290.0,290.0,5.34,6.06,6.06,25.95,25.95,24.64,26.23,2.79,2.74,2.79,2.74,26.0,9.0,4.0,39.0,2.0,2.0,0.0,25.0,6.0,4.0,0.8,0.83,1.17,2.0,0.0,0.0,39.0,35.0,35.0,0.31,0.42,0.42,2.68,2.68,2.67,6.5,0.64,100.0,20.0,0.07,0.03,1.0,2.0,1.0,2.0
8479249,2023,Andrew Poturalski,SEA,C,other,2,58.0,1.0,-0.22,1.0,0.48,1.0,0.58,1.0,0.54,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0,0.0,0.72,0.1,0.1,0.1,0.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.02,0.0,0.0,0.12,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.66,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8479249,2023,Andrew Poturalski,SEA,C,all,2,825.0,18.0,-0.22,0.17,0.56,0.45,0.62,0.33,0.64,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,1.0,14.0,4.0,3.0,2.0,9.0,3.0,0.0,6675.0,0.0,2.0,1.0,0.0,3.22,0.15,0.14,0.15,0.14,5.0,0.0,5.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0,0.05,0.1,0.0,0.0,0.0,0.0,9.82,5.0,4.98,0.05,0.0,0.0,0.2,0.2,0.19,7.61,0.71,0.68,0.71,0.67,9.0,1.0,2.0,12.0,1.0,1.0,1.0,7.0,2.0,1.0,0.2,0.17,0.34,0.0,0.0,1.0,12.39,10.0,10.29,0.09,0.34,0.34,0.46,0.46,0.45,5.73,4.55,141.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
8479249,2023,Andrew Poturalski,SEA,C,5on5,2,712.0,16.0,-0.22,0.04,0.59,0.37,0.61,0.17,0.64,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,0.0,1.0,13.0,4.0,3.0,1.0,8.0,3.0,0.0,4842.0,0.0,2.0,1.0,0.0,1.34,0.03,0.03,0.03,0.03,2.0,0.0,5.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,6.82,2.0,1.98,0.01,0.0,0.0,0.04,0.04,0.04,7.61,0.71,0.68,0.71,0.67,9.0,1.0,2.0,12.0,1.0,1.0,1.0,7.0,2.0,1.0,0.2,0.17,0.34,0.0,0.0,1.0,12.39,10.0,10.29,0.09,0.34,0.34,0.46,0.46,0.45,3.69,2.52,94.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
